id,categoria,fecha,numero,temas,estado,alcance,texto,archivo,observaciones,modifica_a,cita_a,publicado,date_updated,updated_by,fuente
635,ordenanza,2008-06-02,059/08,"59,76,177",,particular,"VISTO:
             La Ordenanza Nº 007/06 y la nota presentada por el Señor Cecilio GODOY, ingresada  el día 30 de Enero de 2008, bajo Nº 045, y;
CONSIDERANDO:
                                Que mediante dicha Ordenanza se exime al Señor GODOY del pago de Tasas por Servicios Municipales correspondientes a la Parcela denominada catastralmente como J-603-08 de su propiedad, durante el Período Fiscal 2008; 
                                Que adjunta copia del Certificado de Discapacidad emitido por el Consejo Provincial del Discapacitado; 
                                Que la Municipalidad de El Bolsón ha adherido a la Ley Provincial Nro. 2055 ,debiendo atender los casos involucrados en ella, por lo que nada obsta  eximir al señor Cecilio GODOY del pago de Tasas Municipales correspondiente al Período Fiscal 2008; 
                               Que el Concejo Deliberante en Sesión del día 27-03-07, Acta 1.422, aprobó el dictado de la presente;  
POR ELLO:
	Y en uso de las  facultades que le son propias

EL CONCEJO DELIBERANTE DE  EL BOLSÓN
 SANCIONA CON FUERZA DE 
O R D E N A N Z A

ARTÍCULO 1º: AUTORIZASE al Poder Ejecutivo Municipal a eximir al Señor Cecilio GODOY del  Pago de las Tasas por Servicios Municipales correspondientes a la Parcela J-603-08, casa 22, por el Período Fiscal 2008.- El beneficio es personal, perdiendo el mismo en caso de cambio de residencia, u otra situación por la cual el beneficiario deje de ocupar la vivienda.-

ARTICULO 2º: IMPÚTESE dicho monto a la Partida presupuestaria correspondiente a “Condonaciones y Excepciones” , Área Acción Social.-

ARTICULO 3º: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los dos días del mes de junio del año 2008.-
.

O R D E N A N Z A                   N°     059/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
634,declaración,2008-03-31,007/08,"36,210",,particular,"VISTO :
                 La Resolución 005/2008 y la reunión de Concejos Deliberantes de la Comarca  Andina realizada el 04-03-08, y; 
CONSIDERANDO :  
                                  Que por Resolución 005/2008 el Honorable Consejo Deliberante de la Municipalidad de El Hoyo , convoca a los Consejos Deliberantes de las localidades de El Hoyo, El Maitén, Lago Puelo, Epuyen, Cholila y El Bolsón a la reunión a realizarse en la localidad de El Hoyo tendiente a la constitución del Foro de Concejales de la Comarca Andina del Paralelo 42; 
                                  Que en respuesta a la convocatoria , los miembros integrantes de los consejos deliberantes intervinientes conforman el Foro de Concejales de la Comarca Andina del Paralelo 42, para que se constituya como una herramienta de integración comarcal, pensada para planificar y gobernar, para enriquecer y fortalecer lo regional desde la suma de  lo local;
                                  Que si bien la mayoría de ciudadanos pertenecen a la Comarca  de los Andes de la Provincia de Chubut, en la Comarca conviven habitantes de dos provincias separadas políticamente por el paralelo 42, que en la vida cotidiana están hermanadas, social, histórica,cultural y geográficamente;  
                                  Que la realidad muestra que a pesar de la existencia de distintos municipios que integran la Comarca Andina del Paralelo 42, las problemáticas son comunes por lo que se debe proveer a buscar soluciones integradoras y e amplio alcance; 
                                 Que ante la necesidad de tratar temas de integración comarcal como lo son: planeamiento, cuidado del medio ambiente, desarrollo de actividades de producción y turismo, búsqueda de políticas activas para áreas de salud, educación, cultura y justicia; es conviviente reconocer el Foro Comarcal de Concejos Deliberantes; 
	                      Que el Concejo Deliberante en Sesión del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;
POR ELLO:
                    Y en uso de las facultades que le son propias;
EL CONCEJO DELIBERANTE DE EL BOLSÓN,
D E C L A R A
                                

ARTICULO 1°: DE INTERES MUNICIPAL, la integración regional de los Cuerpos Legislativos de las localidades de El Hoyo, Lago Puelo Epuyen,Cholila,El Maitén (Chubut) y El Bolsón ( Rio Negro), que conforman el Foro Comarcal de Concejos Deliberantes .-
ARTICULO 2°:Dicha declaración no significa erogación alguna para el municipio de El Bolsón.-
ARTICULO 3º: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta y un días del mes de marzo de 2008.-

DECLARACION       Nº     007/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
633,ordenanza,2008-03-31,026/08,"147,148",,,"VISTO:
             La Ordenanza Nº 094/99,  y,
CONSIDERANDO: 
                                 Que por la misma se concede un espacio público para la construcción de una plazoleta denominada “Islas Malvinas”
                                 Que a la fecha no ha sido construida en ese lugar siendo necesario derogar la Ord. en cuestión 
                                 Que los Ex- Combatientes de Malvinas en reuniones mantenidas al respecto están  de acuerdo en solicitar otro espacio público para la plazoleta;
                                  Que la municipalidad de El Bolsón propone al espacio verde ubicado en la intersección de las calles, Avda. San Martín y Diagonal Merino, de la manzana nº 135  con los datos catastrales: s. “g”, dc.20 y las medidas del mismo: 22,69mts. Sobre la diagonal Merino, 15,59mts. Del lado de la Avda. Gral. San Martín y las esquinas de 6mts (Merino) y 5,66 mts (Avda. San Martín);    
                                  Que de importancia la construcción de la misma  ya que en nuestra zona  hay varias plazas de diferente índole como la del Maestro, Próceres, y de otras colectividades;
                                  Que el Concejo Deliberante en Sesión del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;
POR ELLO:
        Y en uso de las facultades que le son propias;
EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA
 
                                                                        
ARTICULO 1º: DEROGASE  la Ordenanza 094/99.-
ARTICULO 2º: IMPONGASE el nombre de “Plazoleta Islas Malvinas”  al espacio verde identificado catastralmente como G-135- 1a.-
ARTICULO 3°:CONSTRUYASE la plazoleta Islas Malvinas en el  espacio verde ubicado en Avda. San Martín y Diagonal Merino.-
ARTICULO 4º: DELEGESE la construcción, mantenimiento y administración en conjunto  a los ex combatientes y la Municipalidad de El Bolsón.- 
ARTICULO 5º: OTORGUESE el padrinazgo de la Plazoleta Islas Malvinas ubicada en diagonal Merino y Avda.  San Martín  a la Escuadra Cacique Foyel de Gendarmería Infantil del Escuadrón Nº 35 El Bolsón.-
ARTICULO 6º: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta un días del mes de marzo de 2008.-

ORDENANZA     Nº  026/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
632,resolución,2008-03-31,020/08,"36,86",,particular,"VISTO:
	La Resolución  Nro. 100/08 del Concejo Deliberante, y el Reglamento Interno del Concejo Deliberante y la nota presentada por el Sr. Juan Carlos Donadío, ingresada bajo el Nro.  081/08 de fecha  12-02-08,  y; 
CONSIDERANDO:
                                 Que mediante dicha nota el Sr. Donadío  presenta la renuncia al cargo de secretario de Bloque del Concejal Juan Jesús Guenuleo;
                                 Que  de acuerdo al Artículo 18° del Reglamento Interno del Concejo Deliberante, la Secretaría de bloque será ocupada por un Asesor  contratado por prestación de servicio  cuya duración es determinada por cada Concejal;
                                Que el Concejal  Juan Jesús Güenuleo,  ha propuesto para el cargo de secretario de Bloque, al Sr. Omar Rubén Santa Cruz, DNI 12 511.207, CUIL 20-12 511.207-3  a partir del día 01 de febrero de 2008;
                                Que el Concejo Deliberante en Sesión  del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;     
       		
POR ELLO:
                     Y en uso de las facultades que le son propias;

EL CONCEJO DELIBERANTE DE EL BOLSON

RESUELVE


ARTICULO 1º: DEJAR  sin efecto  la Resolución  Nro. 100/07.-

ARTICULO 2°: DESIGNAR  en el cargo de Secretario del Concejal Juan Jesús Güenuleo, conforme el Artículo 18° del Reglamento Interno del Concejo Deliberante, a partir del 01 de febrero del 2008, al Sr. Omar Rubén Santa Cruz, DNI 12 511.207, CUIL 20-12 511.207-3.-  

ARTICULO 3º: ESTABLECER una retribución mensual equivalente al cuarenta por ciento (40%) de la dieta del Concejal por todo concepto.-

ARTÍCULO 4º:  REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta un días del mes de marzo de 2008.-

RESOLUCION      Nº  020/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
631,resolución,2008-03-31,018/08,36,,particular,"ANEXO I – RESOLUCION   Nro.   018/08.- 

                          	DIAS DE SESIONES ORDINARIAS 2008.- 

MES DE MARZO:
Sesión Ordinaria:   03/03/08
Sesión Ordinaria:    27/03/08

MES DE ABRIL:
Sesión Ordinaria:   10/04/08
Sesión Ordinaria:   24/04/08

MES DE MAYO:
Sesión Ordinaria:    15/05/08
Sesión Ordinaria:    29/05/08

MES DE JUNIO:
Sesión Ordinaria:   12/06/08
Sesión Ordinaria:   26/06/08

MES DE JULIO:
Sesión Ordinaria:   10/07/08
Sesión Ordinaria:   24/07/08

MES DE AGOSTO:
Sesión Ordinaria:   14/08/08
Sesión Ordinaria:   28/08/08

MES DE SEPTIEMBRE:
Sesión Ordinaria:   11/09/08
Sesión Ordinaria:   25/09/08

MES DE OCTUBRE:
Sesión Ordinaria:    16/10/08
Sesión Ordinaria:    23/10/08

MES DE NOVIEMBRE:
Sesión Ordinaria:   13/11/08
Sesión Ordinaria:   27/11/08

MES DE DICIEMBRE:
Sesión Ordinaria:   04/12/08.-
-------------------------------------------------------------------------------------------------------------


VISTO:
	La Carta Orgánica Municipal y el Artículo 9° del Reglamento Interno del Concejo Deliberante, y; 
CONSIDERANDO:
                                Que de acuerdo al Artículo 9° del Reglamento Interno, fija, que  este Cuerpo Legislativo determinará los días, horas y lugar en que se realizarán las sesiones Ordinarias del Concejo Deliberante;
                                Que el Artículo 95° de la Carta Orgánica Municipal dice”El periodo ordinario de sesiones del Concejo Deliberante se extiende desde el 1° de marzo  hasta el 10 de diciembre de cada año, y éstas se desarrollarán en los días y horas que determine el propio Cuerpo, debiendo realizar dos (2) sesiones ordinarias al mes como mínimo”;
                                Que el Concejo Deliberante en Sesión  del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;     
       		
POR ELLO:
                     Y en uso de las facultades que le son propias;

EL CONCEJO DELIBERANTE DE EL BOLSON
RESUELVE

ARTICULO 1º: FIJAR como días para las Sesiones Ordinarias del Concejo Deliberante periodo 2008, los contemplados en el anexo I que acompaña a la presente.- 

ARTICULO 2º: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta un días del mes de marzo de 2008.-

RESOLUCION      Nº  018/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
630,declaración,2008-03-31,006/08,"173,210",,,"VISTO:
                La nota presentada por los  Sres  OSCAR  JARA   y  CLAUDIO  MARILUAN en este Cuerpo, bajo N°. de Registro 136, del día 11-03-08; y,
  
CONSIDERANDO:
	Que mediante  nota referente  en el visto los Sres Oscar Jara  y Claudio Mariluán, solicita se declare de interés, la conformación  de una Escuelita  Municipal de boxeo, de la cual tendrá como objetivo, la contención social a través de este deporte a grandes y chicos de nuestra comarca;
                               Que este deporte que involucra a muchos niños y adultos de nuestro pueblo a tenido un apogeo en forma muy exitosa en estos últimos tiempos , dado que el mismo tiene también la finalidad de la contención de nuestra juventud;
                                Que el espíritu del Municipio de El Bolsón, es el de apoyar todas aquellas iniciativas que apunten al crecimiento deportivo de nuestra Comarca;
	                    Que el Concejo Deliberante en Sesión del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;

POR ELLO:
                    Y en uso de las facultades que le son propias;
 
EL CONCEJO DELIBERANTE DE EL BOLSÓN,
D E C L A R A
 
 
ARTICULO 1º: De Interés Municipal y Deportivo, la creación de la “Escuelita Municipal de Boxeo”, solicitada por los  Sres  nombrados en los vistos.-
  
ARTICULO 2º:   Dicha declaración, no significa  erogación alguna para el Municipio de El Bolsón.-

ARTICULO 3°: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta y un días del mes de marzo de 2008.-

DECLARACION       Nº     006/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
629,resolución,2008-03-31,019/08,"11,86",,particular,"VISTO:
               El Proyecto de Resolución presentado por los concejales Paola Sanna, Miguel A. Gotta y Jesús Güenuleo registrado con el número 156/08, y;

CONSIDERANDO:
                                  Que mediante dicho Proyecto se rechaza la renuncia de la contralora Miriam Analía Rearte al cargo de Sistema de Contralor Municipal;
Que la Carta Orgánica Municipal en la Sección 2ª “del Sistema de Contralor”, Capítulo 1º “Integración y funcionamiento”,  Artículo 132 “Permanencia” establece que el Sistema de Contralor continúa en su gestión mientras no renuncie expresamente a ella; 
Que en caso de incumplimiento o renuncia, como es el caso que nos ocupa en la presente, el Poder Ejecutivo con acuerdo del Concejo Deliberante llamará a concurso para su reemplazo;
Que el Concejo Deliberante ya se ha expedido solicitando al Tribunal de Cuenta de la provincia su intervención en el Municipio de El Bolsón hasta tanto se designe, previo concurso de antecedentes, al nuevo Contralor Municipal;
                                Que el Concejo Deliberante en Sesión  del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;     
       		
POR ELLO:
                     Y en uso de las facultades que le son propias;

EL CONCEJO DELIBERANTE DE EL BOLSON
RESUELVE
              
ARTÍCULO 1º: DEJAR sin efecto el Proyecto de Resolución Nº 156/08 por entender que el mismo no se ajusta a la Carta Orgánica Municipal.-

ARTÍCULO 2º: CONVOCAR en un tiempo perentorio que no exceda los diez (10) días al Poder Ejecutivo Municipal para que con acuerdo del Concejo Deliberante se convoque a un concurso de antecedentes a profesionales universitarios con incumbencia en materia de economía para cubrir el cargo de Sistema de Contralor Municipal.-

ARTICULO 3°: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta un días del mes de marzo de 2008.-

RESOLUCION      Nº   019/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
628,ordenanza,2008-03-31,025/08,"211,232",,general,"VISTO:
             La necesidad de asistir con leña a familias carenciadas de nuestra localidad y que el recurso es cada día mas escaso, y;  
CONSIDERANDO:
                               Que a pesar de que los trabajos de conservación requieren inversiones a largo plazo, es necesario que se les preste igual atención que a los de realización inmediata;
                               Que creemos que es fundamental  decidirse sobre la importancia relativa, la urgencia y las grandes prioridades de la plantación;
                               Que los programas de las mismas deben estar a cargo del gobierno, tanto provincial como municipal, y deben apuntar su intensificación a zonas donde la desocupación es alta;
                               Que es necesario crear un fondo especial que canalicen recursos del sector hacia el fomento del mismo y transferencia de fondos externos o internos para apoyar el desarrollo del mismo; 
                               Que las mismas también deberían estar destinadas a la producción de leña, y en esto queremos detenernos lo necesario para recordar que la mayor parte de las extracciones de los bosques se destinan a leña;
                               Que sin temor a equivocarnos el 80 % de la producción de los bosques ha sido empleado para éste fin;
                               Que el consumo doméstico medio anual de leña por familia se estima en aproximadamente veinte a treinta metros cúbicos;
                               Que la leña es un producto de bajo precio en el mercado y por lo tanto muy a menudo permite un elevado costo de producción y por ello los gobiernos tendrían que estimular su producción;
                               Que hay especies de muy buena calidad y de rápido crecimiento como el Retamo y la Acacia blanca entre otras, las formas de plantarlos serían: cortina ó bosque puro;
                                Que la leña de consumo doméstico es tan importante que su escasez ha originado en muchos lugares problemas sociales, habiéndose frecuentemente reglamentado su explotación, el tipo de establecimiento y la conservación de la plantación, para satisfacer las necesidades presentes sin olvidar las demandas futuras siempre en aumento;
                              Que aún en los países donde existen abundantes recursos de otros tipos de energía como el petróleo ó la electricidad, la leña sigue siendo un objetivo importante de la producción forestal, porque se emplea en general para consumo doméstico en las chacras y en las pequeñas poblaciones dispersas;
                              Que los bosques naturales son explotados para la leña siempre que sean accesibles y no estén demasiado lejos de los mercados. En todos los casos debe cuidarse la intensidad y la forma de la explotación, porque dado que las mismas son más intensas que la generación, los recursos forestales se están alejando de las regiones pobladas;
                              Que para terminar queremos hacer hincapié en las regiones áridas marginales, donde el problema todavía es más serio, ya que cuando se destruyen las únicas fuentes de materia prima forestal existente, se reducen las posibilidades de regeneración, agravado esto por el pastoreo incontrolado, lo que causa serios casos de erosión del suelo;
                              
///

                                 Que de acuerdo con lo conversado con el señor delegado del ministerio dela producción ingeniero forestal Danilo Ramírez y dos profesionales mas del servicio forestal andino y de acuerdo al articulo 178 de nuestra carta orgánica. El municipio de El Bolsón establecerá las siguientes reservas. Entre ellas figura el Bosque Comunal “El Guadal “. En la misma hay un espacio talado en su totalidad de aproximadamente 6 hectáreas, donde  estaba poblado por especies del genero pinos (pino insigue) y según los técnicos  mencionados consideran al lugar como apto; 
                           	Que para desarrollar este proyecto es importante serrar el perímetro, para tener la seguridad de que no haya intervención por animales. No presento lista de materiales por que es importante decidir con el Ejecutivo la prioridad  de la demanda y las finanzas. Si aportare un dato técnico importante consensuando. La densidad de plantas por hectárea debe ser de 1200;
                                   Que para satisfacer una demanda social que tiene que cubrir la Municipalidad de El Bolsón en épocas invernales, comenzar con la producción de bosques leñeros en lugares que se den las condiciones;
                                   Que satisfacer  una demanda social  que tiene que cubrir la municipalidad de El Bolsón en épocas invernales;
                                  Que  ir frenando la desertificación que avanza a pasos agigantados.   
	                      Que el Concejo Deliberante en Sesión del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;
POR ELLO:
        Y en uso de las facultades que le son propias;
EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA

ARTÍCULO 1°: Solicitase el asesoramiento técnico al vivero forestal de Mallin Ahogado dependiente del Servicio Forestal Andino.-

ARTICULO 2°: Crease El Bosque Leñero, en las áreas resultantes de los informes técnicos que eleven  los organismos  competentes en el tema  Forestal.-  

ARTICULO 3°: Comenzar con la producción de bosques leñeros en lugares que se den las condiciones.-

ARTICULO 4º: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta y un días del mes de marzo de 2008.-

ORDENANZA       Nº     025/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
627,ordenanza,2008-03-31,024/08,231,,,"VISTO:
              La Ordenanza 071/99 y la nota 033/08, presentada por vecinos del Barrio Villa Anden, y;
 
CONSIDERANDO:
                                 Que la Ordenanza 071/99 impone los nombres Cerro Piltriquitrón y Cerro Lindo a los pasajes del barrio 100 viviendas; 
                                  Que  mediante dicha nota, los vecinos solicitan se nombre la calle que corre entre las manzanas 221 y 211 y las manzanas 220 y 210;
                                 Que dicho tramo es continuación de la calle que se origina en el Barrio 100 viviendas, llamada Cerro Lindo;
                          Que el Concejo Deliberante en Sesión del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;
POR ELLO:
        Y en uso de las facultades que le son propias;
EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA
 
ARTICULO 1º: AMPLIASE  la denominación  Cerro Lindo a la continuación del  pasaje que corre de este a oeste entre las calles Pastorino y Liniers entre las manzanas 221 y 211 y las manzanas 220 y 210 .-

ARTICULO 2º: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta y un días del mes de marzo de 2008.-

ORDENANZA       Nº     024/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
626,ordenanza,2008-03-31,022/08,"55,112,216",,general,"VISTO:
              La Ordenanza Fiscal 014/04, la Ordenanza Tarifaria 072/06, el Código de Planeamiento Urbano de El Bolsón y la Carta Orgánica Municipal, y; 
CONSIDERANDO:
                                 Que la Ordenanza Fiscal en su Parte Especial, Título I, Tasa por Servicios Públicos a la propiedad Inmueble, Servicios a la Comunidad y Acción Social –
 De los Contribuyentes y Responsables”, en su articulo 89º define que: “Son contribuyentes de las tasas establecidas en el presente titulo:
a) Los titulares del dominio de los inmuebles, con exclusión de los nudos 
       propietarios.
b)      Los usufructuarios.
c)      Los poseedores a titulo de dueño.
d) Los adjudicatarios de viviendas que revistan el carácter de tenedores precarios por 
       parte de instituciones publicas o privadas que financien construcciones. Al efecto 
      del cumplimiento de las obligaciones responderán por ellas los inmuebles que la
       provoquen.
e)      Los tenedores a titulo de dueño.
f)        Los apoderados en los supuestos de los incisos anteriores.-”
                      
                                 Que la Ordenanza Fiscal en su  Parte Especial,  Título I – Tasa por Servicios Públicos  a la Propiedad Inmueble, Servicios a la Comunidad y Acción Social – Del pago, el artículo 91° dice: “la presente tasa deberá abonarse estén o no ocupados los inmuebles, con edificación o  sin ella, en las que el Servicio se preste total o parcialmente, diaria o periódicamente”;
                               Que el Código de Planeamiento Urbano determina conforme Ordenanza 126/07 en  su artículo 6° todo lo referente a urbanizaciones y las exigencias de obras de infraestructuras a los  fraccionadores y/o urbanizadores o quienes actuaran en su representación;
                                 Que no existe legislación referente al cobro de Tasas por servicios Municipales en lo que refiere específicamente a subdivisiones respecto a unidades parcelarias;
                          Que  ante  la falta de tierras  disponibles para la construcción de viviendas, es necesario crear incentivos que impulsen a la creación de urbanizaciones, resguardando que las mismas estén  dotadas  de la totalidad de los servicios públicos requeridos por este Municipio;
                                  Que el Concejo Deliberante en Sesión del día 27-03-08, Acta 1.422, aprobó el dictado de la presente;
POR ELLO:
        Y en uso de las facultades que le son propias;
EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA




///	 
ARTICULO 1º: MODIFICASE el Articulo 91º de la Ordenanza Fiscal 014/04, en su Titulo XI - Parte Especial - Del Pago, el cual queda redactado de la siguiente manera:
“ARTICULO 91º: La presente tasa deberá abonarse estén o no ocupados los inmuebles, con edificación o sin ella, en las que el servicio se preste total o parcialmente, diaria o periódicamente. En el caso de urbanizaciones el propietario, los fraccionadores y/o
urbanizadores, o quienes actuaran en su representación, durante un plazo de dos (2) años a partir de la aprobación de la urbanización, abonarán la Tasa por Servicios Municipales tomando como unidad de hecho Imponible cada Manzana.- Durante ese periodo se ajustará  en un todo de acuerdo con el Artículo 6°, de la Ordenanza 126/07, a la vez que deberán denunciar la venta de parcelas ante la Secretaría de Hacienda – Área Ingresos Públicos.- De no ser así, el propietario se hará cargo del pago de la Tasa por Servicios Municipales por cada unidad parcelaria integrante”.- 

ARTICULO 2º: AGREGUESE a la Ordenanza Tarifaria 072/06,  “Manzanas productos de urbanizaciones conforme Ordenanzas 126/07 y 022/08,  por manzana $ 100. mensuales.-

ARTICULO 3°: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido archívese.-

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los treinta y un días del mes de marzo de 2008.-

ORDENANZA       Nº     022/08.-",399,El archivo que contiene esta norma también incluye otros elementos del digesto.,,,1,2024-02-28,1,1
