id,categoria,fecha,numero,temas,estado,alcance,texto,archivo,observaciones,modifica_a,cita_a,publicado
146,ordenanza,2004-12-22,276/04,10,,particular,"VISTO:
La Carta Orgánica Municipal; La Ordenanza de Administración Financiera N°: 120/00;  la Ordenanza N°:   263/03  por lo cual se aprueba el  Presupuesto Anual de Ingresos y Egresos para el Ejercicio Fiscal 2004, y;


CONSIDERANDO:
Que  se ha transferido  a  favor del municipio, Pesos: Diez Mil ( $ 10.000) provenientes del  Instituto Nacional de Asuntos Indígenas, destinado a financiar el proyecto “ Becas Nivel Medio Año 2002”, ya otorgada, correspondientes al período marzo a diciembre  de 2002 y beneficiando con becas de estudio para nivel medio a veinticinco (25) estudiantes pertenecientes al  Pueblo Mapuche;
Que este  subsidio no  fue presupuestado  y   debe ser incluido en el Presupuesto de del Ejercicio Fiscal 2004;
Que por tal motivo se debe realizar la apertura de una nueva cuenta de ingresos  y egresos  para poder realizar la correcta contabilización de tales fondos, siendo en ambos casos por  el total del aporte;
Que se debe proceder a incrementar el Presupuesto de Ingresos  del Ejercicio Fiscal  2004, creando una nueva partida denominada: “ Becas del INAI ”;
Que se debe proceder a incrementar el Presupuesto de Egresos del Ejercicio Fiscal  2004,   creando una  nueva  partida denominada  “ Becas del INAI  ”  en el área  de  Gobierno, sector Transferencias, con el objeto de  atender  en egresos  los gastos que deriven en la ejecución de tales ingresos;
                               Que el Concejo Deliberante en Sesión Extra Ordinaria del día 21-12-04, Acta 1.281, se aprobó el dictado de la presente;

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA


ARTICULO 1°: INCREMENTESE el presupuesto de Ingresos del Presupuesto 2004 en la suma de  Pesos: Diez Mil ( $ 10.000)  a partir de la creación de la siguiente partida  presupuestaria:

Nomenclatura : 01.3.26.
Descripción:  “Becas del INAI  “ .
Monto  Presupuestado: Pesos: Diez Mil ( $ 10.000)


///

Artículo 2°: INCREMENTESE el presupuesto de Egresos del Presupuesto 2004 en la suma de Pesos Diez Mil ( $ 10.000)  a partir de la creación de la siguiente partida  presupuestaria:

Nomenclatura : 01.1.2.67.
Descripción:  “  Becas del INAI  ” 
Monto  Presupuestado: Pesos: Diez Mil ( $ 10.000)


ARTICULO 3°: REGÍSTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese .-


Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los veintidós  días del mes de diciembre del año 2004.-

ORDENANZA      N°   276/04.-",138,,,,1
145,ordenanza,2004-12-22,275/04,10,,,"VISTO:
            La Carta Orgánica Municipal; La Ordenanza de Administración Financiera 
N°: 120/00;  la Ordenanza N°:   263/03  por lo cual se aprueba el  Presupuesto Anual de Ingresos y Egresos para el Ejercicio Fiscal 2004, y;

CONSIDERANDO:
                Que  se ha transferido  a  favor del municipio, Pesos: Ciento Treinta y Cinco Mil Setecientos sesenta y ocho ( $ 135.768) provenientes del Ministerio de Trabajo de la Nación, con el objeto de financiar  dieciocho (18) de los sesenta y cinco ( 65) proyectos aprobados del programa   Manos a la Obra;
Que este  subsidio no  fue presupuestado  y   debe ser incluido en el Presupuesto  del Ejercicio Fiscal 2004;
Que por tal motivo se debe realizar la apertura de una nueva cuenta de ingresos  y egresos  para poder realizar la correcta contabilización de tales fondos, siendo en ambos casos por  el total del aporte;
Que se debe proceder a incrementar el Presupuesto de Ingresos  del Ejercicio Fiscal  2004, creando una nueva partida denominada: “ Subsidio Manos a la Obra;                                                                    
Que se debe proceder a incrementar el Presupuesto de Egresos del Ejercicio Fiscal  2004,   creando una  nueva  partida denominada  “ Subsidio Manos a la Obra  ”  en el área  de  Gobierno, sector Transferencias;  con el objeto de  atender  en egresos  los gastos que deriven en la ejecución de tales ingresos;
                              Que el Concejo Deliberante en Sesión Extra Ordinaria del día 21-12-04, Acta 1.281, aprobó el dictado de la presente;

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA


ARTICULO 1°: INCREMENTESE el presupuesto de Ingresos del Presupuesto 2004 en la suma de  Pesos: Ciento Treinta y Cinco Mil Setecientos sesenta y ocho ( $ 135.768) a partir de la creación de la siguiente partida  presupuestaria:

Nomenclatura : 01.3.27.
Descripción:  “Subsidio Manos a la Obra “ .
Monto  Presupuestado: Pesos: Ciento Treinta y Cinco Mil Setecientos sesenta y ocho ( $ 135.768) 
  

///


Artículo 2°: INCREMENTESE el presupuesto de Egresos del Presupuesto 2004 en la suma de Pesos Ciento Treinta y Cinco Mil Setecientos sesenta y ocho ( $ 135.768) a partir de la creación de la siguiente partida  presupuestaria:

Nomenclatura : 01.1.2.68.
Descripción:  “Subsidio Manos a la Obra ” 
Monto  Presupuestado: Pesos: Ciento Treinta y Cinco Mil Setecientos sesenta y ocho ( $ 135.768).

ARTICULO 3°: REGÍSTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese .-


Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los veintidós  días del mes de diciembre del año 2004.-

ORDENANZA      N°   275/04.-",137,,,,1
144,ordenanza,2004-12-22,274/04,10,,particular,"VISTO:
             La Carta Orgánica Municipal; La Ordenanza de Administración Financiera 
N°: 120/00;  la Ordenanza N°:  263/03  por lo cual se aprueba el  Presupuesto Anual de Ingresos y Egresos para el Ejercicio Fiscal 2004, el Decreto Nº: 1428/04 y;

CONSIDERANDO:
Que  se ha transferido  a  favor del municipio, Pesos: Dos Mil 
( $ 2.000) provenientes de la provincia de Río Negro destinado a solventar los viajes a Comallo y a San Carlos de Bariloche, de los alumnos clasificados a la etapa zonal de los juegos rionegrinos dependientes de la Agencia Río Negro, Deportes y Recreación;
Que este  subsidio no  fue presupuestado  y   debe ser incluido en el Presupuesto de del Ejercicio Fiscal 2004;
Que por tal motivo se debe realizar la apertura de una nueva cuenta de ingresos  y egresos  para poder realizar la correcta contabilización de tales fondos, siendo en ambos casos por  el total del aporte;
Que se debe proceder a incrementar el Presupuesto de Ingresos  del Ejercicio Fiscal  2004, creando una nueva partida denominada: “ Ayuda Viajes Juegos Rionegrinos ”;
Que se debe proceder a incrementar el Presupuesto de Egresos del Ejercicio Fiscal  2004,   creando una  nueva  partida denominada  “Ayuda Viajes Juegos Rionegrinos ”  en el área  de  Gobierno, sector Transferencias;  con el objeto de  atender  en egresos  los gastos que deriven en la ejecución de tales ingresos;
                               Que el Concejo Deliberante en Sesión Extra Ordinaria del día 21-12-04, Acta 1.281, aprobó el dictado de la presente .-

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA


ARTICULO 1°: INCREMENTESE el presupuesto de Ingresos del Presupuesto 2004 en la suma de  Pesos: Dos Mil ( $ 2.000)  a partir de la creación de la siguiente partida  presupuestaria:

Nomenclatura : 01.3.25.
Descripción:  “Ayuda Viajes Juegos Rionegrinos  “ .
Monto  Presupuestado: Pesos: Dos Mil ( $ 2.000)
 	



///

Artículo 2°: INCREMENTESE el presupuesto de Egresos del Presupuesto 2004 en la suma de Pesos  Dos Mil ( $ 2.000) a partir de la creación de la siguiente partida  presupuestaria:

Nomenclatura : 01.1.2.66.
Descripción:  “  Ayuda Viajes Juegos Rionegrinos ” 
Monto  Presupuestado: Pesos: Dos Mil ( $ 2.000)

ARTICULO 3°:REGÍSTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese .-


Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los veintidós  días del mes de diciembre del año 2004.-

ORDENANZA      N°   274/04.-",136,,,,1
143,ordenanza,2004-12-22,273/04,,,particular,"VISTO:
             La Resolución 1965/04 dictada por el Poder Ejecutivo el 20/12/04, Ad Referéndum del Concejo Deliberante, y;   

CONSIDERANDO:
                      Que a través de dicha Resolución se instituye una recompensa de Pesos Diez Mil ($10.000)  para quien o quienes brinden pistas y datos fidedignas que permitan identificar y capturar a los responsables del robo y homicidio perpetrado en un comercio de la localidad el día 19/12/04, afectando dicha suma a la partida 04.1.2.05;           
                               Que el Concejo Deliberante en Sesión Extra Ordinaria del día 21-12-04, Acta 1.281, aprobó por mayoría especial la Resolución 1965/04 dictada por el Poder Ejecutivo Municipal Ad Referéndum del Concejo Deliberante;

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA


ARTICULO 1°: APRUEBASE la Resolución 1965/04dictada por el Poder Ejecutivo Municipal Ad Referéndum del Concejo Deliberante.-

ARTICULO 2°: REGÍSTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese .-


Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los veintidós  días del mes de diciembre del año 2004.-

ORDENANZA      N°   273/04.-",135,,,,1
142,ordenanza,2004-12-17,272/04,4,,particular,"VISTO:
La Ordenanza 236/04, y;

CONSIDERANDO:
Que el Programa de Emergencia Habitacional de la Subsecretaría de Desarrollo Urbano y Vivienda de la Nación requiere que los Municipios presentes ante el Instituto Provincial de la Vivienda (IPPV);
Que la Documentación conformada por:
a) Plano de la Localidad indicando el terreno,
b) Mensura,
c) Certificado de aptitud hidráulica,
d) Compromiso Municipal,
Que la Documentación Arquitectónica, Planta de Conjunto en escala 1.500, Prototipo de escala 1:50, Plantilla de carpinterías, Planilla de locales, Detalle 1:20, memoria técnica sobre las características del suelo y el tipo de fundaciones y estructura resistente propuesto, Memoria y especificaciones técnicas, Computo y Presupuesto, Cronograma de obras y Plano Municipal visado previo sin condicionamientos de conjunto y prototipos, con carátula municipal completa;
Que la documentación del Dominio, Compromiso Municipal, Convalidación del Convenio aprobado por el Concejo Deliberante y convalidación del listado de adjudicatarios aprobado por el Concejo Deliberante;
                                Que el Concejo Deliberante en Sesión Extraordinaria del día 16-12-04, Acta 1.280, aprobó el dictado de la presente;

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA

ARTICULO 1°: APRUEBESE el Listado de beneficiarios del Programa de Emergencia Habitacional situado en los cuatro Barrios que como anexo I forma parte de la presente.-

ARTICULO 2°: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido ARCHIVESE 

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los diecisiete  días del mes de diciembre del año 2004.-

ORDENANZA      N° 272 /04.-",134,,,103,1
141,ordenanza,2004-12-17,271/04,26,,,"VISTO:
                 La realización de la XXXI Fiesta Nacional del Lúpulo a realizarse en nuestra localidad, y; 

CONSIDERANDO:
                                Que se debe designar los días de la realización, designar la comisión organizadora y fijar el presupuesto de gastos;
                                Que el Concejo Deliberante en Sesión Extraordinaria del día 16-12-04, Acta 1.280, aprobó el dictado de la presente;

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA


ARTICULO 1°: FIJASE como fecha definitiva para la realización de la Fiesta Nacional del Lúpulo el segundo fin de semana de febrero, correspondiéndole a la Edición XXXI de la misma, los días 10-11-12 y13 de Febrero de 2005.-

ARTICULO 2°:COMUNIQUESE los Municipios de la Comarca Andina del Paralelo 42°, lo dispuesto en Art. 1°.- 

ARTICULO 3°: APRUEBASE el Acta del 29 de noviembre de 2004 de la  conformación de la Comisión Organizadora:
1)Presidente: Intendente Municipal Oscar José Romera, que a su vez será representado  en su ausencia por el Coordinador de Gobierno Ariel Ayllapán.-
Funciones:
a) Delegar la administración del evento y organización del Bingo  .-
b) Aprobación de las contrataciones de artistas de acuerdo al presupuesto asignado, con la Asesoría Legal de la Dr. Claudia Garnero.-
2)  Organización Contable: Sra Claudia Solari.-
3)  Protocolo e Invitaciones: Agente Hugo Arce y Sra Beatriz Alvarez.-
4) Dirección de Cultura: recepción y contratación de artistas, y coordinación de espectáculos y escenario mayor: Agente Municipal Héctor (Checho) Matínez y Director de Cultura Sr. Oscar Jara.-
5)  Dirección de Deportes: Coordinación de actividades deportivas, Director Prof.. Cristian Lengyel y Sr. Nelson Fabián Yacer.-
6)  Coordinación de Candidatas a Lupulinas: Desarrollo Social, Sra. Cristina Manéndez.-
7)  Coordinación de Candidatas a Reina Nacional del Lúpulo: Dirección de Turismo, Sra. Sol Porro y Dra Claudia Garnero.- 

///

8) Presidente del Jurado de Elección de la Reina: Concejal Walter Forestier, coordina la conformación del jurado.-
9)  Prensa y Coordinación de la Publicidad: Coordinador de Gobierno Ariel Ayllapán.-  
10)  Contratación de Servicios de Sonido e Iluminación: Ariel Ayllapán.-
11)  Coordinación del Ordenamiento de Tránsito y la Seguridad: Dirección de Inspectoría, Director José María Casartelli.-
12)  Armado y Venta de Stand: Nelson Fabián Llacer.-
13)  Licitación de Kiosco: Secretaría Legislativa del Concejo Deliberante, Sra. Eva Velásquez.-
14)  Armado del Escenario Mayor: Sr. Daniel Demich y Sr. Manuel Vega.-

ARTICULO 3°: Destinase a la XXXI Fiesta Nacional del Lúpulo un presupuesto de $30.000.- (Pesos Treinta mil) que se financiaran con aportes y subsidios de Organismos Nacionales y Provinciales y Sponsoreos privados.-

ARTICULO 4°: Una vez finalizada la realización de la XXXI Edición de la Fiesta del Lúpulo, la Comisión Organizadora efectuará la rendición de cuentas correspondiente, por ante el Concejo Deliberante. En caso de registrarse super hábit el mismo será destinado a Obras Públicas.- 

ARTICULO 5°: La Comisión Organizadora deberá habilitar un libro de Ingresos y Egresos foliado y sellado por el Intendente Municipal y la Presidente del Concejo Deliberante, en el que se registrarán los ingresos y gastos de dinero en cualquier concepto , el que deberá ser exhibido por ante el Concejo Deliberante junto con la rendición de cuentas.-

ARTICULO 6°: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido ARCHIVESE 

Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los diecisiete  días del mes de diciembre del año 2004.-

ORDENANZA      N° 271/04.-",133,,,,1
140,ordenanza,2004-12-17,270/04,,,,"VISTO:
             La solicitud presentada por los vecinos descendientes de piamonteses radicados en nuestra localidad, y;
       
CONSIDERANDO:
Que los miembros de la Comisión Organizadora de “Familia Piamontesa” de la localidad de EL Bolsón solicitan al Concejo Deliberante la adjudicación de una Plazoleta del casco urbano;
Que se ha firmado recientemente el Protocolo de Hermandad entre las regiones Piemonte (Italia) y la Región Norte de la Patagonia (Argentina);
Que esto ha motivado un intercambio fructífero en beneficio de ambas regiones, en el desarrollo de proyectos de investigación, intercambio social, cultural, científico y comercial;
Que este accionar se debe a un grupo de vecinos, impregnados de la fuerza de aquellos inmigrantes que llegaron a nuestra Patria en el siglo XIX, uniéndose a la población autóctona y construyendo un gran país.                                
                                Que el Concejo Deliberante en Sesión Extra Ordinaria del día16-12-04, Acta 1.280, aprobó el dictado de la presente;

POR ELLO:
Y en uso de las facultades que le son propias

EL CONCEJO DELIBERANTE  DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA


ARTICULO 1°: IMPONGASE el nombre de Plaza Piamonte al espacio verde denominado catastralmente 20-1-G-550-08 que consta de una superficie de 1680,40 m2 ubicada en la intersección de la Avenida Gral. Belgrano y la calle Bernardo O´Higgins en la planta urbana de El Bolsón,R.N..-

ARTICULO 2°: SOLICITAR al Poder Ejecutivo que de acuerdo al diseño que presente la Comisión Organizadora de “Familia Piamontesa” realicen los trabajos de iluminación correspondiente.-

ARTICULO 3°: REGÍSTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese .-


Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los diecisiete días del mes de diciembre del año 2004.-
ORDENANZA      N°   270/04.-",132,,,,1
139,ordenanza,2004-12-14,269/04,,,particular,"VISTO:
             La nota presentada por el señor Mario Demich, ingresada a este recinto bajo N° 751;

CONSIDERANDO:
Que en la misma solicita la autorización para la instalación de un saltin-banking en nuestra localidad;
Que esta actividad no es contaminante y significa un atractivo mas para la gente del pueblo y los turistas que nos visitan;
Que esta actividad, brindará a nuestros jóvenes una recreación que favorecerá al crecimiento armónico de su cuerpo y es una actividad que se desarrolla en los principales centros recreativos de otras ciudades turísticas;
Que los elementos a utilizar no son fijos por lo cual la ubicación de los mismos pueden variar ante requerimientos futuros;
  Que el Concejo Deliberante en sesión del día 13-12-04, Acta N° 1.279, aprobó el dictado de la presente;     

POR ELLO: 
             Y en uso de las facultades que le son propias;

EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERA DE
ORDENANZA

ARTICULO 1°: AUTORIZASE al Poder Ejecutivo Municipal a firmar un convenio con el Señor Mario Demich, D.N.I. 13.850.440, para instalar un saltin –banking en el sector Este del espacio público ubicado entre calles Perito Moreno y Roca, denominado catastralmente 20-1-G-195-01, de la planta urbana de El Bolsón R. N., abonando un canon mensual de trescientos Pesos ($300.-), con un plazo de duración de dos años.-
 
ARICULO 2°: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese.-
 
 Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los catorce días del mes de diciembre del año 2004.-
 
ORDENANZA  N° 269/04",131,,,,1
138,ordenanza,2004-12-14,268/04,,,particular,"VISTO:
      La nota presentada por el Sr. Giancaspro Adrián, registrada en este Cuerpo el día 07/10/04, bajo Nro. 1.007, y;

CONSIDERANDO:
                         Que en la misma solicita se le exima de los términos del Artículo 1ro de la Ordenanza 102/93;
                         Que dicho Artículo establece que el servicio de fletes para lo cual serán habilitados vehículos tiene que ser un modelo no mayor a  12 años;
        Que el Sr. Giancaspro es único sostén de familia y solicita sea habilitado su vehículo para taxi-flet, siendo este una camioneta Chevrolet, Modelo 1987;                                                                                                                 
         Que ha presentado  copia del Registro Unico del Transporte Automotor (RUTA), otorgado por el Ministerio de Planificación Federal, Inversión Pública y Servicios, Secretaría de Transporte y Gendarmería Nacional para circular por las rutas de todo el país y, Certificado de Revisión Técnica otorgado por la Consultora Ejecutiva Nacional de Transporte y constancia de domicilio en El Bolsón R. N.;
                                 Que el Concejo Deliberante en sesión del día 13-12-04, Acta N° 1.279, aprobó el dictado de la presente;     

POR ELLO: 
             Y en uso de las facultades que le son propias;

EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERA DE
ORDENANZA

ARTICULO 1°: EXCEPTUESE de las exigencias del Artículo 1ro. de la Ordenanza 102/93 al Sr. Giancaspro Adrián, DNI 21.487.894.-

ARTICULO 2°: AUTORICESE al Poder Ejecutivo Municipal a habilitar la camioneta Marca Chevrolet , Dominio RLR 555, Modelo 1987, perteneciente al Sr. Giancaspro Adrián, para realizar servicio de fletes.-

ARTICULO 3ro: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese.-
 
 Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los catorce días del mes de diciembre del año 2004.-
 
ORDENANZA  N° 268/04",130,,,,1
137,ordenanza,2004-12-14,267/04,,,,"VISTO:
      La nota presentada por el Sr. Juan Carlos Angulo y la nota presentada por la Junta vecinal del Barrio San José, y;

CONSIDERANDO:
                         Que la falta de nombres de las calles de dicho Barrio;
                         Que de acuerdo a la solicitud del nombrado se le debe poner un nombre a la calle ubicada entre las parcelas 630 y 621;
                               Que el Concejo Deliberante en sesión del día 13-12-04, Acta N° 1.279, aprobó el dictado de la presente;     

POR ELLO:
                    Y en uso de las facultades que le son propias;
 
EL CONCEJO DELIBERANTE DE EL BOLSON
SANCIONA CON FUERZA DE
ORDENANZA

ARTICULO 1ro: IMPONGASE  el nombre  ""SAN JOSE” a la calle que esta ubicada entre las manzanas 630 y 621, Sección E  del Barrio San José .-

ARTICULO 2do: REGISTRESE, comuníquese al Poder Ejecutivo Municipal, cumplido, archívese.-
 
 Dada en la Sala de Sesiones del Concejo Deliberante de El Bolsón, Departamento Bariloche, Provincia de Río Negro, a los catorce días del mes de diciembre del año 2004.-
 
ORDENANZA  N° 267/04",129,,,,1
