id,nombre
66,VILLA TURISMO
65,AGROTURISMO
64,REMISES
63,CONSTRUCCIÓN
62,ANTENAS
61,PILAS Y BATERÍAS
60,PROHIBICIÓN BOLSAS PLÁSTICAS
59,TASAS POR SERVICIOS MUNICIPALES
58,JUNTA ELECTORAL
57,JUZGADO DE FALTAS
56,EVALUACIÓN IMPACTO AMBIENTAL
55,TARIFARIA
54,MUSEO REGIONAL
53,TAXIS
52,CARTA ORGÁNICA MUNICIPAL
51,ESCUELA 318
50,RED DE TELEFONÍA
49,COOPETEL
48,BARRIO SAN JOSÉ
47,PLANES DE VIVIENDAS
46,CIBERS
45,JARDINES MATERNALES COMUNITARIOS
44,EDERSA
43,BARRIO USINA
42,TENDIDO ELÉCTRICO
41,ESTACIONAMIENTO
40,TRANSPORTE PESADO
39,CASILLAS RODANTES
38,PUEBLO MAPUCHE
37,CERTIFICADO DE OCUPACIÓN
36,CONCEJO DELIBERANTE
35,POLIDEPORTIVO
34,GIMNASIO MUNICIPAL
33,LOCALES BAILABLES
32,ABANDERADO MUNICIPAL
31,FERIA REGIONAL
30,DIGESTO MUNICIPAL
29,PARAPENTE
28,EMERGENCIA ECONÓMICA
27,OBRA PÚBLICA
26,FIESTA DEL LÚPULO
25,DEUDA PÚBLICA
24,MEDIO AMBIENTE
23,RECURSOS NATURALES
22,CABALGATAS
21,PUBLICIDAD
20,PROHIBICIÓN CULTIVO DE TRANSGÉNICOS
19,CÓDIGO AMBIENTAL
18,TURISMO
17,LICITACIÓN PÚBLICA
16,RED DE GAS
15,BOMBEROS VOLUNTARIOS
14,SISTEMAS DE INFORMACIÓN
13,ALUMBRADO PÚBICO
12,CLOACAS
11,SISTEMA DE CONTRALOR
10,PRESUPUESTO
9,ADJUDICACIÓN VENTA DE LOTES O PARCELAS U OCUPACIÓN
8,BARRIO LUJÁN
7,AGUA CORRIENTE
6,SEGURIDAD VIAL
5,TRÁNSITO
4,EMERGENCIA HABITACIONAL
3,PIROTECNIA
2,HABILITACIÒN COMERCIAL
1,COMERCIO
